Year,Sector,Source,Accounts,Value
1990,,,UNFCCC - NIR,13005.38
1991,,,UNFCCC - NIR,12785.18
1992,,,UNFCCC - NIR,12686.19
1993,,,UNFCCC - NIR,12769.63
1994,,,UNFCCC - NIR,12668.01
1995,,,UNFCCC - NIR,12787.07
1996,,,UNFCCC - NIR,12833.28
1997,,,UNFCCC - NIR,13002.96
1998,,,UNFCCC - NIR,13168.11
1999,,,UNFCCC - NIR,13401.65
2000,,,UNFCCC - NIR,13424.62
2001,,,UNFCCC - NIR,13334.33
2002,,,UNFCCC - NIR,13429.08
2003,,,UNFCCC - NIR,13400.78
2004,,,UNFCCC - NIR,13508.0
2005,,,UNFCCC - NIR,13374.55
2006,,,UNFCCC - NIR,14028.66
2007,,,UNFCCC - NIR,14361.59
2008,,,UNFCCC - NIR,14767.32
2009,,,UNFCCC - NIR,14442.83
2010,,,UNFCCC - NIR,14316.77
2011,,,UNFCCC - NIR,14023.7
2012,,,UNFCCC - NIR,14033.88
2013,,,UNFCCC - NIR,14012.86
2014,,,UNFCCC - NIR,14025.14
2015,,,UNFCCC - NIR,14078.41
2016,,,UNFCCC - NIR,13985.21
2017,,,UNFCCC - NIR,14075.43
2018,,,UNFCCC - NIR,14280.12
2019,,,UNFCCC - NIR,14134.23
2020,,,UNFCCC - NIR,13941.84
2021,,,UNFCCC - NIR,14060.07
1990,,Energy,UNFCCC - NIR,1866.69
1991,,Energy,UNFCCC - NIR,1780.91
1992,,Energy,UNFCCC - NIR,1923.55
1993,,Energy,UNFCCC - NIR,2035.54
1994,,Energy,UNFCCC - NIR,1974.78
1995,,Energy,UNFCCC - NIR,2068.65
1996,,Energy,UNFCCC - NIR,2124.77
1997,,Energy,UNFCCC - NIR,2168.53
1998,,Energy,UNFCCC - NIR,2162.1
1999,,Energy,UNFCCC - NIR,2227.26
2000,,Energy,UNFCCC - NIR,2210.48
2001,,Energy,UNFCCC - NIR,2095.48
2002,,Energy,UNFCCC - NIR,2203.38
2003,,Energy,UNFCCC - NIR,2194.1
2004,,Energy,UNFCCC - NIR,2294.83
2005,,Energy,UNFCCC - NIR,2184.44
2006,,Energy,UNFCCC - NIR,2253.87
2007,,Energy,UNFCCC - NIR,2402.0
2008,,Energy,UNFCCC - NIR,2259.53
2009,,Energy,UNFCCC - NIR,2177.38
2010,,Energy,UNFCCC - NIR,2056.98
2011,,Energy,UNFCCC - NIR,1922.49
2012,,Energy,UNFCCC - NIR,1880.6
2013,,Energy,UNFCCC - NIR,1844.35
2014,,Energy,UNFCCC - NIR,1859.47
2015,,Energy,UNFCCC - NIR,1876.94
2016,,Energy,UNFCCC - NIR,1857.62
2017,,Energy,UNFCCC - NIR,1907.49
2018,,Energy,UNFCCC - NIR,1911.17
2019,,Energy,UNFCCC - NIR,1853.99
2020,,Energy,UNFCCC - NIR,1663.79
2021,,Energy,UNFCCC - NIR,1766.89
1990,,Industrial Processes,UNFCCC - NIR,958.01
1991,,Industrial Processes,UNFCCC - NIR,837.43
1992,,Industrial Processes,UNFCCC - NIR,607.73
1993,,Industrial Processes,UNFCCC - NIR,565.0
1994,,Industrial Processes,UNFCCC - NIR,531.1
1995,,Industrial Processes,UNFCCC - NIR,571.21
1996,,Industrial Processes,UNFCCC - NIR,546.56
1997,,Industrial Processes,UNFCCC - NIR,675.46
1998,,Industrial Processes,UNFCCC - NIR,827.83
1999,,Industrial Processes,UNFCCC - NIR,974.81
2000,,Industrial Processes,UNFCCC - NIR,1008.56
2001,,Industrial Processes,UNFCCC - NIR,1011.78
2002,,Industrial Processes,UNFCCC - NIR,987.92
2003,,Industrial Processes,UNFCCC - NIR,984.86
2004,,Industrial Processes,UNFCCC - NIR,986.03
2005,,Industrial Processes,UNFCCC - NIR,964.69
2006,,Industrial Processes,UNFCCC - NIR,1436.0
2007,,Industrial Processes,UNFCCC - NIR,1577.52
2008,,Industrial Processes,UNFCCC - NIR,2108.7
2009,,Industrial Processes,UNFCCC - NIR,1917.66
2010,,Industrial Processes,UNFCCC - NIR,1951.13
2011,,Industrial Processes,UNFCCC - NIR,1845.72
2012,,Industrial Processes,UNFCCC - NIR,1937.49
2013,,Industrial Processes,UNFCCC - NIR,1962.75
2014,,Industrial Processes,UNFCCC - NIR,1941.85
2015,,Industrial Processes,UNFCCC - NIR,2023.0
2016,,Industrial Processes,UNFCCC - NIR,1973.99
2017,,Industrial Processes,UNFCCC - NIR,2039.34
2018,,Industrial Processes,UNFCCC - NIR,2041.27
2019,,Industrial Processes,UNFCCC - NIR,2007.33
2020,,Industrial Processes,UNFCCC - NIR,1974.61
2021,,Industrial Processes,UNFCCC - NIR,2006.8
1990,,Agriculture,UNFCCC - NIR,592.68
1991,,Agriculture,UNFCCC - NIR,576.01
1992,,Agriculture,UNFCCC - NIR,559.55
1993,,Agriculture,UNFCCC - NIR,562.66
1994,,Agriculture,UNFCCC - NIR,568.15
1995,,Agriculture,UNFCCC - NIR,547.61
1996,,Agriculture,UNFCCC - NIR,560.24
1997,,Agriculture,UNFCCC - NIR,553.44
1998,,Agriculture,UNFCCC - NIR,563.52
1999,,Agriculture,UNFCCC - NIR,568.06
2000,,Agriculture,UNFCCC - NIR,551.75
2001,,Agriculture,UNFCCC - NIR,551.82
2002,,Agriculture,UNFCCC - NIR,535.21
2003,,Agriculture,UNFCCC - NIR,525.09
2004,,Agriculture,UNFCCC - NIR,515.88
2005,,Agriculture,UNFCCC - NIR,518.75
2006,,Agriculture,UNFCCC - NIR,542.9
2007,,Agriculture,UNFCCC - NIR,559.56
2008,,Agriculture,UNFCCC - NIR,572.13
2009,,Agriculture,UNFCCC - NIR,556.98
2010,,Agriculture,UNFCCC - NIR,545.73
2011,,Agriculture,UNFCCC - NIR,545.73
2012,,Agriculture,UNFCCC - NIR,545.06
2013,,Agriculture,UNFCCC - NIR,539.68
2014,,Agriculture,UNFCCC - NIR,583.3
2015,,Agriculture,UNFCCC - NIR,570.52
2016,,Agriculture,UNFCCC - NIR,571.14
2017,,Agriculture,UNFCCC - NIR,578.19
2018,,Agriculture,UNFCCC - NIR,637.77
2019,,Agriculture,UNFCCC - NIR,621.47
2020,,Agriculture,UNFCCC - NIR,617.01
2021,,Agriculture,UNFCCC - NIR,620.07
