Year,Gender,Value
2000,Male,28.05084746
2001,Male,27.36757624
2002,Male,26.32034632
2003,Male,29.28321678
2004,Male,25.83979328
2005,Male,22.84710018
2006,Male,24.36459246
2007,Male,24.37810945
2008,Male,22.34920635
2009,Male,18.92826275
2010,Male,18.54124063
2011,Male,19.1503268
2012,Male,18.09598741
2013,Male,16.50700074
2014,Male,15.14423077
2015,Male,14.67324291
2016,Male,14.02034498
2017,Male,13.03952749
2018,Male,12.24028907
2019,Male,10.93872742
2020,Male,9.838249286
2021,Male,10.34808929
2022,Male,8.694846125
2000,Female,25.95296026
2001,Female,26.31578947
2002,Female,25.66445183
2003,Female,23.30946698
2004,Female,24.03225806
2005,Female,23.84313725
2006,Female,21.62588792
2007,Female,21.73112339
2008,Female,20.56194125
2009,Female,18.735363
2010,Female,18.45841785
2011,Female,18.86543536
2012,Female,16.718507
2013,Female,17.78104335
2014,Female,17.15647339
2015,Female,14.004914
2016,Female,14.75770925
2017,Female,12.74376417
2018,Female,12.48285322
2019,Female,11.60591133
2020,Female,11.26895757
2021,Female,9.831675593
2022,Female,9.169161677
2000,,26.97886448
2001,,26.84
2002,,25.98558711
2003,,26.15576843
2004,,24.90628905
2005,,23.37339412
2006,,22.92358804
2007,,23.04603027
2008,,21.45813435
2009,,18.8269073
2010,,18.49966056
2011,,19.00853578
2012,,17.40320688
2013,,17.14495953
2014,,16.15476665
2015,,14.33846154
2016,,14.38975944
2017,,12.89151158
2018,,12.36082708
2019,,11.27176158
2020,,10.55045872
2021,,10.09130683
2022,,8.930899609
