Year,Age,Gender,Value
2005,Under 15 years,,16
2006,Under 15 years,,16
2007,Under 15 years,,15
2008,Under 15 years,,14
2009,Under 15 years,,11
2010,Under 15 years,,9
2011,Under 15 years,,8
2012,Under 15 years,,8
2013,Under 15 years,,8
2014,Under 15 years,,8
2015,Under 15 years,,8
2016,Under 15 years,,8
2017,Under 15 years,,9
2018,Under 15 years,,9
2019,Under 15 years,,8
2020,Under 15 years,,8
2021,Under 15 years,,7
2022,Under 15 years,,8
2005,15 - 19 years,,85
2006,15 - 19 years,,88
2007,15 - 19 years,,89
2008,15 - 19 years,,86
2009,15 - 19 years,,78
2010,15 - 19 years,,75
2011,15 - 19 years,,74
2012,15 - 19 years,,75
2013,15 - 19 years,,73
2014,15 - 19 years,,73
2015,15 - 19 years,,73
2016,15 - 19 years,,74
2017,15 - 19 years,,74
2018,15 - 19 years,,72
2019,15 - 19 years,,69
2020,15 - 19 years,,63
2021,15 - 19 years,,63
2022,15 - 19 years,,67
2005,Total,,101
2006,Total,,104
2007,Total,,104
2008,Total,,100
2009,Total,,89
2010,Total,,84
2011,Total,,82
2012,Total,,83
2013,Total,,81
2014,Total,,81
2015,Total,,81
2016,Total,,82
2017,Total,,83
2018,Total,,80
2019,Total,,77
2020,Total,,71
2021,Total,,70
2022,Total,,75
2005,Under 15 years,Male,16
2006,Under 15 years,Male,15
2007,Under 15 years,Male,14
2008,Under 15 years,Male,13
2009,Under 15 years,Male,10
2010,Under 15 years,Male,9
2011,Under 15 years,Male,8
2012,Under 15 years,Male,8
2013,Under 15 years,Male,8
2014,Under 15 years,Male,8
2015,Under 15 years,Male,7
2016,Under 15 years,Male,8
2017,Under 15 years,Male,8
2018,Under 15 years,Male,8
2019,Under 15 years,Male,7
2020,Under 15 years,Male,8
2021,Under 15 years,Male,7
2022,Under 15 years,Male,7
2005,15 - 19 years,Male,77
2006,15 - 19 years,Male,79
2007,15 - 19 years,Male,79
2008,15 - 19 years,Male,75
2009,15 - 19 years,Male,67
2010,15 - 19 years,Male,66
2011,15 - 19 years,Male,66
2012,15 - 19 years,Male,66
2013,15 - 19 years,Male,65
2014,15 - 19 years,Male,65
2015,15 - 19 years,Male,65
2016,15 - 19 years,Male,65
2017,15 - 19 years,Male,66
2018,15 - 19 years,Male,63
2019,15 - 19 years,Male,60
2020,15 - 19 years,Male,55
2021,15 - 19 years,Male,55
2022,15 - 19 years,Male,59
2005,Total,Male,93
2006,Total,Male,94
2007,Total,Male,92
2008,Total,Male,88
2009,Total,Male,78
2010,Total,Male,75
2011,Total,Male,74
2012,Total,Male,75
2013,Total,Male,72
2014,Total,Male,73
2015,Total,Male,72
2016,Total,Male,73
2017,Total,Male,74
2018,Total,Male,71
2019,Total,Male,68
2020,Total,Male,63
2021,Total,Male,61
2022,Total,Male,67
2005,Under 15 years,Female,16
2006,Under 15 years,Female,16
2007,Under 15 years,Female,17
2008,Under 15 years,Female,15
2009,Under 15 years,Female,11
2010,Under 15 years,Female,9
2011,Under 15 years,Female,8
2012,Under 15 years,Female,8
2013,Under 15 years,Female,8
2014,Under 15 years,Female,8
2015,Under 15 years,Female,8
2016,Under 15 years,Female,8
2017,Under 15 years,Female,9
2018,Under 15 years,Female,9
2019,Under 15 years,Female,9
2020,Under 15 years,Female,8
2021,Under 15 years,Female,8
2022,Under 15 years,Female,9
2005,15 - 19 years,Female,95
2006,15 - 19 years,Female,100
2007,15 - 19 years,Female,101
2008,15 - 19 years,Female,99
2009,15 - 19 years,Female,90
2010,15 - 19 years,Female,85
2011,15 - 19 years,Female,83
2012,15 - 19 years,Female,84
2013,15 - 19 years,Female,82
2014,15 - 19 years,Female,82
2015,15 - 19 years,Female,82
2016,15 - 19 years,Female,83
2017,15 - 19 years,Female,84
2018,15 - 19 years,Female,81
2019,15 - 19 years,Female,78
2020,15 - 19 years,Female,72
2021,15 - 19 years,Female,73
2022,15 - 19 years,Female,76
2005,Total,Female,110
2006,Total,Female,116
2007,Total,Female,118
2008,Total,Female,114
2009,Total,Female,101
2010,Total,Female,94
2011,Total,Female,91
2012,Total,Female,92
2013,Total,Female,90
2014,Total,Female,91
2015,Total,Female,90
2016,Total,Female,92
2017,Total,Female,93
2018,Total,Female,91
2019,Total,Female,87
2020,Total,Female,81
2021,Total,Female,80
2022,Total,Female,84
