Year,Fatal/non-fatal,Sex,Nationality,Value
1980,Total,Both,All,8
1981,Total,Both,All,8
1982,Total,Both,All,7
1983,Total,Both,All,3
1984,Total,Both,All,344
1985,Total,Both,All,358
1986,Total,Both,All,380
1987,Total,Both,All,403
1988,Total,Both,All,417
1989,Total,Both,All,444
1990,Total,Both,All,763
1991,Total,Both,All,668
1992,Total,Both,All,672
1993,Total,Both,All,670
1994,Total,Both,All,673
1995,Total,Both,All,884
1996,Total,Both,All,1084
1997,Total,Both,All,1236
1998,Total,Both,All,1337
1999,Total,Both,All,1360
2000,Total,Both,All,1444
2001,Total,Both,All,1419
2002,Total,Both,All,1398
2003,Total,Both,All,1476
2004,Total,Both,All,1879
2005,Total,Both,All,1633
2006,Total,Both,All,1740
2007,Total,Both,All,1926
2008,Total,Both,All,1865
2009,Total,Both,All,1367
2010,Total,Both,All,1339
2011,Total,Both,All,1557
2012,Total,Both,All,1642
2013,Total,Both,All,1803
2014,Total,Both,All,1967
2015,Total,Both,All,2085
2016,Total,Both,All,2117
2017,Total,Both,All,2137
2018,Total,Both,All,2204
2019,Total,Both,All,2234
2020,Total,Both,All,1810
2021,Total,Both,All,1877
2022,Total,Both,All,1950
1980,Fatal,Both,All,8
1981,Fatal,Both,All,8
1982,Fatal,Both,All,7
1983,Fatal,Both,All,3
1984,Fatal,Both,All,5
1985,Fatal,Both,All,6
1986,Fatal,Both,All,5
1987,Fatal,Both,All,4
1988,Fatal,Both,All,1
1989,Fatal,Both,All,7
1990,Fatal,Both,All,5
1991,Fatal,Both,All,9
1992,Fatal,Both,All,4
1993,Fatal,Both,All,4
1994,Fatal,Both,All,8
1995,Fatal,Both,All,3
1996,Fatal,Both,All,3
1997,Fatal,Both,All,4
1998,Fatal,Both,All,2
1999,Fatal,Both,All,7
2000,Fatal,Both,All,4
2001,Fatal,Both,All,3
2002,Fatal,Both,All,0
2003,Fatal,Both,All,4
2004,Fatal,Both,All,2
2005,Fatal,Both,All,3
2006,Fatal,Both,All,6
2007,Fatal,Both,All,4
2008,Fatal,Both,All,5
2009,Fatal,Both,All,3
2010,Fatal,Both,All,3
2011,Fatal,Both,All,3
2012,Fatal,Both,All,0
2013,Fatal,Both,All,1
2014,Fatal,Both,All,2
2015,Fatal,Both,All,2
2016,Fatal,Both,All,4
2017,Fatal,Both,All,2
2018,Fatal,Both,All,3
2019,Fatal,Both,All,2
2020,Fatal,Both,All,3
2021,Fatal,Both,All,3
2022,Fatal,Both,All,1
1980,Fatal,Male,All,8
1981,Fatal,Male,All,8
1982,Fatal,Male,All,7
1983,Fatal,Male,All,3
1984,Fatal,Male,All,4
1985,Fatal,Male,All,5
1986,Fatal,Male,All,5
1987,Fatal,Male,All,4
1988,Fatal,Male,All,1
1989,Fatal,Male,All,6
1990,Fatal,Male,All,5
1991,Fatal,Male,All,9
1992,Fatal,Male,All,4
1993,Fatal,Male,All,4
1994,Fatal,Male,All,8
1995,Fatal,Male,All,3
1996,Fatal,Male,All,3
1997,Fatal,Male,All,4
1998,Fatal,Male,All,2
1999,Fatal,Male,All,5
2000,Fatal,Male,All,4
2001,Fatal,Male,All,3
2002,Fatal,Male,All,0
2003,Fatal,Male,All,4
2004,Fatal,Male,All,2
2005,Fatal,Male,All,3
2006,Fatal,Male,All,6
2007,Fatal,Male,All,4
2008,Fatal,Male,All,5
2009,Fatal,Male,All,3
2010,Fatal,Male,All,3
2011,Fatal,Male,All,3
2012,Fatal,Male,All,0
2013,Fatal,Male,All,0
2014,Fatal,Male,All,1
2015,Fatal,Male,All,2
2016,Fatal,Male,All,4
2017,Fatal,Male,All,2
2018,Fatal,Male,All,3
2019,Fatal,Male,All,2
2020,Fatal,Male,All,3
2021,Fatal,Male,All,3
2022,Fatal,Male,All,1
1980,Fatal,Female,All,0
1981,Fatal,Female,All,0
1982,Fatal,Female,All,0
1983,Fatal,Female,All,0
1984,Fatal,Female,All,1
1985,Fatal,Female,All,1
1986,Fatal,Female,All,0
1987,Fatal,Female,All,0
1988,Fatal,Female,All,0
1989,Fatal,Female,All,1
1990,Fatal,Female,All,0
1991,Fatal,Female,All,0
1992,Fatal,Female,All,0
1993,Fatal,Female,All,0
1994,Fatal,Female,All,0
1995,Fatal,Female,All,0
1996,Fatal,Female,All,0
1997,Fatal,Female,All,0
