Year,Meðhöndlun,Units,Value
2014,,Tonn á íbúa,0.12
2015,,Tonn á íbúa,0.12
2016,,Tonn á íbúa,0.14
2017,,Tonn á íbúa,0.09
2018,,Tonn á íbúa,0.08
2019,,Tonn á íbúa,0.11
2020,,Tonn á íbúa,0.11
2014,Endurheimt,Tonn á íbúa,0.08
2015,Endurheimt,Tonn á íbúa,0.07
2016,Endurheimt,Tonn á íbúa,0.06
2017,Endurheimt,Tonn á íbúa,0.05
2018,Endurheimt,Tonn á íbúa,0.03
2019,Endurheimt,Tonn á íbúa,0.06
2020,Endurheimt,Tonn á íbúa,0.05
2014,Fargað,Tonn á íbúa,0.04
2015,Fargað,Tonn á íbúa,0.05
2016,Fargað,Tonn á íbúa,0.08
2017,Fargað,Tonn á íbúa,0.04
2018,Fargað,Tonn á íbúa,0.04
2019,Fargað,Tonn á íbúa,0.05
2020,Fargað,Tonn á íbúa,0.06
2014,Endurheimt,Hlutfall alls hættulegs úrgangs,0.69
2015,Endurheimt,Hlutfall alls hættulegs úrgangs,0.57
2016,Endurheimt,Hlutfall alls hættulegs úrgangs,0.42
2017,Endurheimt,Hlutfall alls hættulegs úrgangs,0.51
2018,Endurheimt,Hlutfall alls hættulegs úrgangs,0.45
2019,Endurheimt,Hlutfall alls hættulegs úrgangs,0.56
2020,Endurheimt,Hlutfall alls hættulegs úrgangs,0.43
2014,Fargað,Hlutfall alls hættulegs úrgangs,0.31
2015,Fargað,Hlutfall alls hættulegs úrgangs,0.43
2016,Fargað,Hlutfall alls hættulegs úrgangs,0.58
2017,Fargað,Hlutfall alls hættulegs úrgangs,0.49
2018,Fargað,Hlutfall alls hættulegs úrgangs,0.55
2019,Fargað,Hlutfall alls hættulegs úrgangs,0.44
2020,Fargað,Hlutfall alls hættulegs úrgangs,0.57
