Year,Starfsgrein,Value
2000,Læknar,41.35
2001,Læknar,41.64
2002,Læknar,42.75
2003,Læknar,43.57
2004,Læknar,43.23
2005,Læknar,43.33
2006,Læknar,43.18
2007,Læknar,43.1
2008,Læknar,42.98
2009,Læknar,42.33
2010,Læknar,41.94
2011,Læknar,41.01
2012,Læknar,35.73
2013,Læknar,36.29
2014,Læknar,36.63
2015,Læknar,43.76
2016,Læknar,38.85
2017,Læknar,45.07
2018,Læknar,45.26
2019,Læknar,44.93
2020,Læknar,49.4
2021,Læknar,49.95
2022,Læknar,50.37
2000,Hjúkrunarfræðingar og ljósmæður,87.55
2001,Hjúkrunarfræðingar og ljósmæður,89.78
2002,Hjúkrunarfræðingar og ljósmæður,88.98
2003,Hjúkrunarfræðingar og ljósmæður,93.25
2004,Hjúkrunarfræðingar og ljósmæður,94.61
2005,Hjúkrunarfræðingar og ljósmæður,94.63
2006,Hjúkrunarfræðingar og ljósmæður,93.6
2007,Hjúkrunarfræðingar og ljósmæður,96.66
2008,Hjúkrunarfræðingar og ljósmæður,94.43
2009,Hjúkrunarfræðingar og ljósmæður,91.93
2010,Hjúkrunarfræðingar og ljósmæður,91.4
2011,Hjúkrunarfræðingar og ljósmæður,95.56
2012,Hjúkrunarfræðingar og ljósmæður,99.04
2013,Hjúkrunarfræðingar og ljósmæður,102.19
2014,Hjúkrunarfræðingar og ljósmæður,101.39
2015,Hjúkrunarfræðingar og ljósmæður,102.25
2016,Hjúkrunarfræðingar og ljósmæður,90.4
2017,Hjúkrunarfræðingar og ljósmæður,96.2
2018,Hjúkrunarfræðingar og ljósmæður,98.72
2019,Hjúkrunarfræðingar og ljósmæður,104.9
2020,Hjúkrunarfræðingar og ljósmæður,106.77
2021,Hjúkrunarfræðingar og ljósmæður,106.78
2022,Hjúkrunarfræðingar og ljósmæður,106.82
2000,Lyfjafræðingar,8.24
2001,Lyfjafræðingar,8.58
2002,Lyfjafræðingar,9.53
2003,Lyfjafræðingar,9.67
2004,Lyfjafræðingar,9.88
2005,Lyfjafræðingar,10.18
2006,Lyfjafræðingar,10.4
2007,Lyfjafræðingar,10.63
2008,Lyfjafræðingar,10.43
2009,Lyfjafræðingar,10.46
2010,Lyfjafræðingar,10.77
2011,Lyfjafræðingar,11.21
2012,Lyfjafræðingar,10.55
2013,Lyfjafræðingar,10.66
2014,Lyfjafræðingar,10.69
2015,Lyfjafræðingar,10.79
2016,Lyfjafræðingar,10.53
2017,Lyfjafræðingar,10.64
2018,Lyfjafræðingar,10.82
2019,Lyfjafræðingar,10.59
2020,Lyfjafræðingar,11.07
2021,Lyfjafræðingar,11.14
2022,Lyfjafræðingar,11.06
2000,Tannlæknar,10.14
2001,Tannlæknar,10.06
2002,Tannlæknar,10.05
2003,Tannlæknar,9.98
2004,Tannlæknar,9.88
2005,Tannlæknar,9.84
2006,Tannlæknar,9.54
2007,Tannlæknar,9.56
2008,Tannlæknar,9.54
2009,Tannlæknar,9.21
2010,Tannlæknar,9.41
2011,Tannlæknar,8.89
2012,Tannlæknar,8.45
2013,Tannlæknar,8.45
2014,Tannlæknar,8.41
2015,Tannlæknar,8.45
2016,Tannlæknar,8.36
2017,Tannlæknar,8.25
2018,Tannlæknar,8.29
2019,Tannlæknar,7.98
2020,Tannlæknar,7.96
2021,Tannlæknar,7.97
2022,Tannlæknar,8.0
