Year,Kyn,Value
2000 (completion 2004),,43.1
2002 (completion 2006),,44.7
2003 (completion 2007),,44.2
2004 (completion 2008),,44.7
2005 (completion 2009),,46.5
2006 (completion 2010),,46.5
2007 (completion 2011),,48.4
2008 (completion 2012),,49.7
2009  (completion 2013),,49.4
2010  (completion 2014),,50.9
2011 (completion 2015),,50.9
2012  (completion 2016),,52.0
2013  (completion 2017),,54.1
2014  (completion 2018),,55.6
2015  (completion 2019),,60.0
2016 (completion 2020),,61.7
2000 (completion 2004),Karl,34.1
2002 (completion 2006),Karl,38.0
2003 (completion 2007),Karl,36.3
2004 (completion 2008),Karl,37.6
2005 (completion 2009),Karl,39.5
2006 (completion 2010),Karl,38.8
2007 (completion 2011),Karl,42.0
2008 (completion 2012),Karl,41.8
2009  (completion 2013),Karl,41.3
2010  (completion 2014),Karl,40.9
2011 (completion 2015),Karl,43.4
2012  (completion 2016),Karl,44.6
2013  (completion 2017),Karl,45.6
2014  (completion 2018),Karl,48.3
2015  (completion 2019),Karl,51.4
2016 (completion 2020),Karl,52.6
2000 (completion 2004),Kona,52.1
2002 (completion 2006),Kona,51.2
2003 (completion 2007),Kona,52.3
2004 (completion 2008),Kona,52.0
2005 (completion 2009),Kona,53.1
2006 (completion 2010),Kona,53.7
2007 (completion 2011),Kona,55.0
2008 (completion 2012),Kona,57.8
2009  (completion 2013),Kona,57.4
2010  (completion 2014),Kona,61.2
2011 (completion 2015),Kona,58.9
2012  (completion 2016),Kona,59.6
2013  (completion 2017),Kona,63.0
2014  (completion 2018),Kona,63.2
2015  (completion 2019),Kona,68.3
2016 (completion 2020),Kona,70.9
