Year,Kyn,Aldur,Value
1998,Karlar,16 ára,0
1998,Konur,16 ára,0
1998,Kynsegin/annað,16 ára,0
1998,Karlar,17 ára,0
1998,Konur,17 ára,2
1998,Kynsegin/annað,17 ára,0
1999,Karlar,16 ára,0
1999,Konur,16 ára,0
1999,Kynsegin/annað,16 ára,0
1999,Karlar,17 ára,0
1999,Konur,17 ára,0
1999,Kynsegin/annað,17 ára,0
2000,Karlar,16 ára,0
2000,Konur,16 ára,0
2000,Kynsegin/annað,16 ára,0
2000,Karlar,17 ára,0
2000,Konur,17 ára,0
2000,Kynsegin/annað,17 ára,0
2001,Karlar,16 ára,0
2001,Konur,16 ára,0
2001,Kynsegin/annað,16 ára,0
2001,Karlar,17 ára,0
2001,Konur,17 ára,0
2001,Kynsegin/annað,17 ára,0
2002,Karlar,16 ára,0
2002,Konur,16 ára,0
2002,Kynsegin/annað,16 ára,0
2002,Karlar,17 ára,0
2002,Konur,17 ára,0
2002,Kynsegin/annað,17 ára,0
2003,Karlar,16 ára,0
2003,Konur,16 ára,1
2003,Kynsegin/annað,16 ára,0
2003,Karlar,17 ára,0
2003,Konur,17 ára,0
2003,Kynsegin/annað,17 ára,0
2004,Karlar,16 ára,0
2004,Konur,16 ára,0
2004,Kynsegin/annað,16 ára,0
2004,Karlar,17 ára,0
2004,Konur,17 ára,0
2004,Kynsegin/annað,17 ára,0
2005,Karlar,16 ára,0
2005,Konur,16 ára,0
2005,Kynsegin/annað,16 ára,0
2005,Karlar,17 ára,0
2005,Konur,17 ára,0
2005,Kynsegin/annað,17 ára,0
2006,Karlar,16 ára,0
2006,Konur,16 ára,0
2006,Kynsegin/annað,16 ára,0
2006,Karlar,17 ára,0
2006,Konur,17 ára,1
2006,Kynsegin/annað,17 ára,0
2007,Karlar,16 ára,0
2007,Konur,16 ára,0
2007,Kynsegin/annað,16 ára,0
2007,Karlar,17 ára,0
2007,Konur,17 ára,0
2007,Kynsegin/annað,17 ára,0
2008,Karlar,16 ára,0
2008,Konur,16 ára,0
2008,Kynsegin/annað,16 ára,0
2008,Karlar,17 ára,0
2008,Konur,17 ára,0
2008,Kynsegin/annað,17 ára,0
2009,Karlar,16 ára,0
2009,Konur,16 ára,0
2009,Kynsegin/annað,16 ára,0
2009,Karlar,17 ára,0
2009,Konur,17 ára,1
2009,Kynsegin/annað,17 ára,0
2010,Karlar,16 ára,0
2010,Konur,16 ára,0
2010,Kynsegin/annað,16 ára,0
2010,Karlar,17 ára,0
2010,Konur,17 ára,0
2010,Kynsegin/annað,17 ára,0
2011,Karlar,16 ára,0
2011,Konur,16 ára,0
2011,Kynsegin/annað,16 ára,0
2011,Karlar,17 ára,0
2011,Konur,17 ára,0
2011,Kynsegin/annað,17 ára,0
2012,Karlar,16 ára,0
2012,Konur,16 ára,0
2012,Kynsegin/annað,16 ára,0
2012,Karlar,17 ára,0
2012,Konur,17 ára,0
2012,Kynsegin/annað,17 ára,0
2013,Karlar,16 ára,0
2013,Konur,16 ára,0
2013,Kynsegin/annað,16 ára,0
2013,Karlar,17 ára,0
2013,Konur,17 ára,0
2013,Kynsegin/annað,17 ára,0
2014,Karlar,16 ára,0
2014,Konur,16 ára,0
2014,Kynsegin/annað,16 ára,0
2014,Karlar,17 ára,0
2014,Konur,17 ára,0
2014,Kynsegin/annað,17 ára,0
2015,Karlar,16 ára,0
2015,Konur,16 ára,0
2015,Kynsegin/annað,16 ára,0
2015,Karlar,17 ára,0
2015,Konur,17 ára,0
2015,Kynsegin/annað,17 ára,0
2016,Karlar,16 ára,0
2016,Konur,16 ára,1
2016,Kynsegin/annað,16 ára,0
2016,Karlar,17 ára,0
2016,Konur,17 ára,0
2016,Kynsegin/annað,17 ára,0
2017,Karlar,16 ára,0
2017,Konur,16 ára,0
2017,Kynsegin/annað,16 ára,0
2017,Karlar,17 ára,0
2017,Konur,17 ára,0
2017,Kynsegin/annað,17 ára,0
2018,Karlar,16 ára,0
2018,Konur,16 ára,0
2018,Kynsegin/annað,16 ára,0
2018,Karlar,17 ára,0
2018,Konur,17 ára,0
2018,Kynsegin/annað,17 ára,0
2019,Karlar,16 ára,0
2019,Konur,16 ára,0
2019,Kynsegin/annað,16 ára,0
2019,Karlar,17 ára,0
2019,Konur,17 ára,0
2019,Kynsegin/annað,17 ára,0
2020,Karlar,16 ára,0
2020,Konur,16 ára,0
2020,Kynsegin/annað,16 ára,0
2020,Karlar,17 ára,0
2020,Konur,17 ára,0
2020,Kynsegin/annað,17 ára,0
2021,Karlar,16 ára,0
2021,Konur,16 ára,0
2021,Kynsegin/annað,16 ára,0
2021,Karlar,17 ára,0
2021,Konur,17 ára,0
2021,Kynsegin/annað,17 ára,0
2022,Karlar,16 ára,0
2022,Konur,16 ára,0
2022,Kynsegin/annað,16 ára,0
2022,Karlar,17 ára,0
2022,Konur,17 ára,0
2022,Kynsegin/annað,17 ára,0
2023,Karlar,16 ára,0
2023,Konur,16 ára,0
2023,Kynsegin/annað,16 ára,0
2023,Karlar,17 ára,0
2023,Konur,17 ára,0
2023,Kynsegin/annað,17 ára,0
2024,Karlar,16 ára,0
2024,Konur,16 ára,0
2024,Kynsegin/annað,16 ára,0
2024,Karlar,17 ára,0
2024,Konur,17 ára,0
2024,Kynsegin/annað,17 ára,0
