Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
1980,Alls,Bæði,Öll,8.0
1981,Alls,Bæði,Öll,8.0
1982,Alls,Bæði,Öll,7.0
1983,Alls,Bæði,Öll,3.0
1984,Alls,Bæði,Öll,344.0
1985,Alls,Bæði,Öll,358.0
1986,Alls,Bæði,Öll,380.0
1987,Alls,Bæði,Öll,403.0
1988,Alls,Bæði,Öll,417.0
1989,Alls,Bæði,Öll,444.0
1990,Alls,Bæði,Öll,763.0
1991,Alls,Bæði,Öll,668.0
1992,Alls,Bæði,Öll,672.0
1993,Alls,Bæði,Öll,670.0
1994,Alls,Bæði,Öll,673.0
1995,Alls,Bæði,Öll,884.0
1996,Alls,Bæði,Öll,1084.0
1997,Alls,Bæði,Öll,1236.0
1998,Alls,Bæði,Öll,1337.0
1999,Alls,Bæði,Öll,1360.0
2000,Alls,Bæði,Öll,1444.0
2001,Alls,Bæði,Öll,1419.0
2002,Alls,Bæði,Öll,1398.0
2003,Alls,Bæði,Öll,1476.0
2004,Alls,Bæði,Öll,1879.0
2005,Alls,Bæði,Öll,1633.0
2006,Alls,Bæði,Öll,1740.0
2007,Alls,Bæði,Öll,1926.0
2008,Alls,Bæði,Öll,1865.0
2009,Alls,Bæði,Öll,1367.0
2010,Alls,Bæði,Öll,1339.0
2011,Alls,Bæði,Öll,1557.0
2012,Alls,Bæði,Öll,1642.0
2013,Alls,Bæði,Öll,1803.0
2014,Alls,Bæði,Öll,1967.0
2015,Alls,Bæði,Öll,2085.0
2016,Alls,Bæði,Öll,2117.0
2017,Alls,Bæði,Öll,2137.0
2018,Alls,Bæði,Öll,2204.0
2019,Alls,Bæði,Öll,2234.0
2020,Alls,Bæði,Öll,1810.0
2021,Alls,Bæði,Öll,1877.0
2022,Alls,Bæði,Öll,1950.0
1980,Banvænt,Bæði,Öll,8.0
1981,Banvænt,Bæði,Öll,8.0
1982,Banvænt,Bæði,Öll,7.0
1983,Banvænt,Bæði,Öll,3.0
1984,Banvænt,Bæði,Öll,5.0
1985,Banvænt,Bæði,Öll,6.0
1986,Banvænt,Bæði,Öll,5.0
1987,Banvænt,Bæði,Öll,4.0
1988,Banvænt,Bæði,Öll,1.0
1989,Banvænt,Bæði,Öll,7.0
1990,Banvænt,Bæði,Öll,5.0
1991,Banvænt,Bæði,Öll,9.0
1992,Banvænt,Bæði,Öll,4.0
1993,Banvænt,Bæði,Öll,4.0
1994,Banvænt,Bæði,Öll,8.0
1995,Banvænt,Bæði,Öll,3.0
1996,Banvænt,Bæði,Öll,3.0
1997,Banvænt,Bæði,Öll,4.0
1998,Banvænt,Bæði,Öll,2.0
1999,Banvænt,Bæði,Öll,7.0
2000,Banvænt,Bæði,Öll,4.0
2001,Banvænt,Bæði,Öll,3.0
2002,Banvænt,Bæði,Öll,0.0
2003,Banvænt,Bæði,Öll,4.0
2004,Banvænt,Bæði,Öll,2.0
2005,Banvænt,Bæði,Öll,3.0
2006,Banvænt,Bæði,Öll,6.0
2007,Banvænt,Bæði,Öll,4.0
2008,Banvænt,Bæði,Öll,5.0
2009,Banvænt,Bæði,Öll,3.0
2010,Banvænt,Bæði,Öll,3.0
2011,Banvænt,Bæði,Öll,3.0
2012,Banvænt,Bæði,Öll,0.0
2013,Banvænt,Bæði,Öll,1.0
2014,Banvænt,Bæði,Öll,2.0
2015,Banvænt,Bæði,Öll,2.0
2016,Banvænt,Bæði,Öll,4.0
2017,Banvænt,Bæði,Öll,2.0
2018,Banvænt,Bæði,Öll,3.0
2019,Banvænt,Bæði,Öll,2.0
2020,Banvænt,Bæði,Öll,3.0
2021,Banvænt,Bæði,Öll,3.0
2022,Banvænt,Bæði,Öll,1.0
1980,Banvænt,Karl,Öll,8.0
1981,Banvænt,Karl,Öll,8.0
1982,Banvænt,Karl,Öll,7.0
1983,Banvænt,Karl,Öll,3.0
1984,Banvænt,Karl,Öll,4.0
1985,Banvænt,Karl,Öll,5.0
1986,Banvænt,Karl,Öll,5.0
1987,Banvænt,Karl,Öll,4.0
1988,Banvænt,Karl,Öll,1.0
1989,Banvænt,Karl,Öll,6.0
1990,Banvænt,Karl,Öll,5.0
1991,Banvænt,Karl,Öll,9.0
1992,Banvænt,Karl,Öll,4.0
1993,Banvænt,Karl,Öll,4.0
1994,Banvænt,Karl,Öll,8.0
1995,Banvænt,Karl,Öll,3.0
1996,Banvænt,Karl,Öll,3.0
1997,Banvænt,Karl,Öll,4.0
1998,Banvænt,Karl,Öll,2.0
1999,Banvænt,Karl,Öll,5.0
2000,Banvænt,Karl,Öll,4.0
2001,Banvænt,Karl,Öll,3.0
2002,Banvænt,Karl,Öll,0.0
2003,Banvænt,Karl,Öll,4.0
2004,Banvænt,Karl,Öll,2.0
2005,Banvænt,Karl,Öll,3.0
2006,Banvænt,Karl,Öll,6.0
2007,Banvænt,Karl,Öll,4.0
2008,Banvænt,Karl,Öll,5.0
2009,Banvænt,Karl,Öll,3.0
2010,Banvænt,Karl,Öll,3.0
2011,Banvænt,Karl,Öll,3.0
2012,Banvænt,Karl,Öll,0.0
2013,Banvænt,Karl,Öll,0.0
2014,Banvænt,Karl,Öll,1.0
