Year,Hópur,Value
2010,Minnst þróuðu ríkin,0.1111
2011,Minnst þróuðu ríkin,0.1232
2012,Minnst þróuðu ríkin,0.4847
2013,Minnst þróuðu ríkin,0.1606
2014,Minnst þróuðu ríkin,0.1812
2015,Minnst þróuðu ríkin,0.2016
2016,Minnst þróuðu ríkin,0.2298
2017,Minnst þróuðu ríkin,0.2495
2018,Minnst þróuðu ríkin,0.2708
2019,Minnst þróuðu ríkin,0.3233
2020,Minnst þróuðu ríkin,0.3992
2021,Minnst þróuðu ríkin,0.4265
2022,Minnst þróuðu ríkin,0.3701
2023,Minnst þróuðu ríkin,0.3828
2010,Þróunarlönd,22.54274698
2011,Þróunarlönd,19.76351824
2012,Þróunarlönd,21.8056668
2013,Þróunarlönd,20.89073088
2014,Þróunarlönd,19.91253328
2015,Þróunarlönd,22.03557499
2016,Þróunarlönd,17.49332859
2017,Þróunarlönd,20.86787657
2018,Þróunarlönd,18.85540552
2019,Þróunarlönd,17.62652686
2020,Þróunarlönd,21.29250188
2021,Þróunarlönd,21.20680817
2022,Þróunarlönd,23.16067261
2023,Þróunarlönd,20.26302131
