Year,Kyn,Atvinnugrein,Value
2008,,,1895
2009,,,1965
2010,,,2070
2011,,,2215
2012,,,2310
2013,,,2470
2014,,,2560
2015,,,2755
2016,,,3035
2017,,,3220
2018,,,3260
2019,,,3360
2020,,,3695
2021,,,3910
2022,,,4130
2008,Karl,,2110
2009,Karl,,2160
2010,Karl,,2270
2011,Karl,,2430
2012,Karl,,2530
2013,Karl,,2720
2014,Karl,,2790
2015,Karl,,3010
2016,Karl,,3290
2017,Karl,,3480
2018,Karl,,3500
2019,Karl,,3610
2020,Karl,,3930
2021,Karl,,4120
2022,Karl,,4330
2008,Kona,,1680
2009,Kona,,1770
2010,Kona,,1870
2011,Kona,,2000
2012,Kona,,2090
2013,Kona,,2220
2014,Kona,,2330
2015,Kona,,2500
2016,Kona,,2780
2017,Kona,,2960
2018,Kona,,3020
2019,Kona,,3110
2020,Kona,,3460
2021,Kona,,3700
2022,Kona,,3930
2008,Karl,Alls - án opinberrar stjórnsýslu (O),2080
2009,Karl,Alls - án opinberrar stjórnsýslu (O),2130
2010,Karl,Alls - án opinberrar stjórnsýslu (O),2250
2011,Karl,Alls - án opinberrar stjórnsýslu (O),2400
2012,Karl,Alls - án opinberrar stjórnsýslu (O),2500
2013,Karl,Alls - án opinberrar stjórnsýslu (O),2710
2014,Karl,Alls - án opinberrar stjórnsýslu (O),2760
2015,Karl,Alls - án opinberrar stjórnsýslu (O),2990
2016,Karl,Alls - án opinberrar stjórnsýslu (O),3250
2017,Karl,Alls - án opinberrar stjórnsýslu (O),3440
2018,Karl,Alls - án opinberrar stjórnsýslu (O),3450
2019,Karl,Alls - án opinberrar stjórnsýslu (O),3560
2020,Karl,Alls - án opinberrar stjórnsýslu (O),3880
2021,Karl,Alls - án opinberrar stjórnsýslu (O),4050
2022,Karl,Alls - án opinberrar stjórnsýslu (O),4250
2008,Kona,Alls - án opinberrar stjórnsýslu (O),1650
2009,Kona,Alls - án opinberrar stjórnsýslu (O),1750
2010,Kona,Alls - án opinberrar stjórnsýslu (O),1850
2011,Kona,Alls - án opinberrar stjórnsýslu (O),1970
2012,Kona,Alls - án opinberrar stjórnsýslu (O),2060
2013,Kona,Alls - án opinberrar stjórnsýslu (O),2200
2014,Kona,Alls - án opinberrar stjórnsýslu (O),2300
2015,Kona,Alls - án opinberrar stjórnsýslu (O),2470
2016,Kona,Alls - án opinberrar stjórnsýslu (O),2730
2017,Kona,Alls - án opinberrar stjórnsýslu (O),2910
2018,Kona,Alls - án opinberrar stjórnsýslu (O),2970
2019,Kona,Alls - án opinberrar stjórnsýslu (O),3060
2020,Kona,Alls - án opinberrar stjórnsýslu (O),3410
2021,Kona,Alls - án opinberrar stjórnsýslu (O),3630
2022,Kona,Alls - án opinberrar stjórnsýslu (O),3850
2008,Karl,Almennur vinnumarkaður,2090
2009,Karl,Almennur vinnumarkaður,2150
2010,Karl,Almennur vinnumarkaður,2310
2011,Karl,Almennur vinnumarkaður,2470
2012,Karl,Almennur vinnumarkaður,2580
2013,Karl,Almennur vinnumarkaður,2830
2014,Karl,Almennur vinnumarkaður,2840
2015,Karl,Almennur vinnumarkaður,3070
2016,Karl,Almennur vinnumarkaður,3290
2017,Karl,Almennur vinnumarkaður,3480
2018,Karl,Almennur vinnumarkaður,3460
2019,Karl,Almennur vinnumarkaður,3600
2020,Karl,Almennur vinnumarkaður,3960
2021,Karl,Almennur vinnumarkaður,4080
2022,Karl,Almennur vinnumarkaður,4260
2008,Kona,Almennur vinnumarkaður,1620
2009,Kona,Almennur vinnumarkaður,1720
2010,Kona,Almennur vinnumarkaður,1900
2011,Kona,Almennur vinnumarkaður,2040
2012,Kona,Almennur vinnumarkaður,2150
2013,Kona,Almennur vinnumarkaður,2340
2014,Kona,Almennur vinnumarkaður,2380
2015,Kona,Almennur vinnumarkaður,2580
2016,Kona,Almennur vinnumarkaður,2790
2017,Kona,Almennur vinnumarkaður,2970
2018,Kona,Almennur vinnumarkaður,2910
2019,Kona,Almennur vinnumarkaður,3070
2020,Kona,Almennur vinnumarkaður,3490
2021,Kona,Almennur vinnumarkaður,3520
