Year,Category,Value
2000,Domestic Material Consumption (DMC) [Kilotonnes],17914.89
2001,Domestic Material Consumption (DMC) [Kilotonnes],19684.41
2002,Domestic Material Consumption (DMC) [Kilotonnes],17882.02
2003,Domestic Material Consumption (DMC) [Kilotonnes],21848.2
2004,Domestic Material Consumption (DMC) [Kilotonnes],27144.52
2005,Domestic Material Consumption (DMC) [Kilotonnes],17542.82
2006,Domestic Material Consumption (DMC) [Kilotonnes],23311.35
2007,Domestic Material Consumption (DMC) [Kilotonnes],22067.29
2008,Domestic Material Consumption (DMC) [Kilotonnes],28789.83
2009,Domestic Material Consumption (DMC) [Kilotonnes],31302.45
2010,Domestic Material Consumption (DMC) [Kilotonnes],21142.17
2011,Domestic Material Consumption (DMC) [Kilotonnes],11039.3
2012,Domestic Material Consumption (DMC) [Kilotonnes],10273.07
2013,Domestic Material Consumption (DMC) [Kilotonnes],19709.07
2014,Domestic Material Consumption (DMC) [Kilotonnes],17539.35
2015,Domestic Material Consumption (DMC) [Kilotonnes],18967.34
2016,Domestic Material Consumption (DMC) [Kilotonnes],16219.07
2017,Domestic Material Consumption (DMC) [Kilotonnes],18292.21
2018,Domestic Material Consumption (DMC) [Kilotonnes],23807.72
2019,Domestic Material Consumption (DMC) [Kilotonnes],18720.12
2020,Domestic Material Consumption (DMC) [Kilotonnes],16808.45
2021,Domestic Material Consumption (DMC) [Kilotonnes],13006.5
2022,Domestic Material Consumption (DMC) [Kilotonnes],15909.94
2000,DMC per capita [kilotonnes per person],0.06
2001,DMC per capita [kilotonnes per person],0.07
2002,DMC per capita [kilotonnes per person],0.06
2003,DMC per capita [kilotonnes per person],0.08
2004,DMC per capita [kilotonnes per person],0.09
2005,DMC per capita [kilotonnes per person],0.06
2006,DMC per capita [kilotonnes per person],0.08
2007,DMC per capita [kilotonnes per person],0.07
2008,DMC per capita [kilotonnes per person],0.09
2009,DMC per capita [kilotonnes per person],0.1
2010,DMC per capita [kilotonnes per person],0.07
2011,DMC per capita [kilotonnes per person],0.03
2012,DMC per capita [kilotonnes per person],0.03
2013,DMC per capita [kilotonnes per person],0.06
2014,DMC per capita [kilotonnes per person],0.05
2015,DMC per capita [kilotonnes per person],0.06
2016,DMC per capita [kilotonnes per person],0.05
2017,DMC per capita [kilotonnes per person],0.05
2018,DMC per capita [kilotonnes per person],0.07
2019,DMC per capita [kilotonnes per person],0.05
2020,DMC per capita [kilotonnes per person],0.05
2021,DMC per capita [kilotonnes per person],0.04
2022,DMC per capita [kilotonnes per person],0.04
2000,DMC per GDP [kilotonnes per MISK],0.025
2001,DMC per GDP [kilotonnes per MISK],0.025
2002,DMC per GDP [kilotonnes per MISK],0.021
2003,DMC per GDP [kilotonnes per MISK],0.025
2004,DMC per GDP [kilotonnes per MISK],0.028
2005,DMC per GDP [kilotonnes per MISK],0.017
2006,DMC per GDP [kilotonnes per MISK],0.019
2007,DMC per GDP [kilotonnes per MISK],0.016
2008,DMC per GDP [kilotonnes per MISK],0.018
2009,DMC per GDP [kilotonnes per MISK],0.019
2010,DMC per GDP [kilotonnes per MISK],0.013
2011,DMC per GDP [kilotonnes per MISK],0.006
2012,DMC per GDP [kilotonnes per MISK],0.006
2013,DMC per GDP [kilotonnes per MISK],0.01
2014,DMC per GDP [kilotonnes per MISK],0.008
2015,DMC per GDP [kilotonnes per MISK],0.008
2016,DMC per GDP [kilotonnes per MISK],0.006
2017,DMC per GDP [kilotonnes per MISK],0.007
2018,DMC per GDP [kilotonnes per MISK],0.008
2019,DMC per GDP [kilotonnes per MISK],0.006
2020,DMC per GDP [kilotonnes per MISK],0.006
2021,DMC per GDP [kilotonnes per MISK],0.004
2022,DMC per GDP [kilotonnes per MISK],0.004
