Year,Fatal/non-fatal,Sex,Nationality,Value
1980.0,Total,Both,All,8.0
1981.0,Total,Both,All,8.0
1982.0,Total,Both,All,7.0
1983.0,Total,Both,All,3.0
1984.0,Total,Both,All,344.0
1985.0,Total,Both,All,358.0
1986.0,Total,Both,All,380.0
1987.0,Total,Both,All,403.0
1988.0,Total,Both,All,417.0
1989.0,Total,Both,All,444.0
1990.0,Total,Both,All,763.0
1991.0,Total,Both,All,668.0
1992.0,Total,Both,All,672.0
1993.0,Total,Both,All,670.0
1994.0,Total,Both,All,673.0
1995.0,Total,Both,All,884.0
1996.0,Total,Both,All,1084.0
1997.0,Total,Both,All,1236.0
1998.0,Total,Both,All,1337.0
1999.0,Total,Both,All,1360.0
2000.0,Total,Both,All,1444.0
2001.0,Total,Both,All,1419.0
2002.0,Total,Both,All,1398.0
2003.0,Total,Both,All,1476.0
2004.0,Total,Both,All,1879.0
2005.0,Total,Both,All,1633.0
2006.0,Total,Both,All,1740.0
2007.0,Total,Both,All,1926.0
2008.0,Total,Both,All,1865.0
2009.0,Total,Both,All,1367.0
2010.0,Total,Both,All,1339.0
2011.0,Total,Both,All,1557.0
2012.0,Total,Both,All,1642.0
2013.0,Total,Both,All,1803.0
2014.0,Total,Both,All,1967.0
2015.0,Total,Both,All,2085.0
2016.0,Total,Both,All,2117.0
2017.0,Total,Both,All,2137.0
2018.0,Total,Both,All,2204.0
2019.0,Total,Both,All,2234.0
2020.0,Total,Both,All,1810.0
2021.0,Total,Both,All,1877.0
2022.0,Total,Both,All,1950.0
1980.0,Fatal,Both,All,8.0
1981.0,Fatal,Both,All,8.0
1982.0,Fatal,Both,All,7.0
1983.0,Fatal,Both,All,3.0
1984.0,Fatal,Both,All,5.0
1985.0,Fatal,Both,All,6.0
1986.0,Fatal,Both,All,5.0
1987.0,Fatal,Both,All,4.0
1988.0,Fatal,Both,All,1.0
1989.0,Fatal,Both,All,7.0
1990.0,Fatal,Both,All,5.0
1991.0,Fatal,Both,All,9.0
1992.0,Fatal,Both,All,4.0
1993.0,Fatal,Both,All,4.0
1994.0,Fatal,Both,All,8.0
1995.0,Fatal,Both,All,3.0
1996.0,Fatal,Both,All,3.0
1997.0,Fatal,Both,All,4.0
1998.0,Fatal,Both,All,2.0
1999.0,Fatal,Both,All,7.0
2000.0,Fatal,Both,All,4.0
2001.0,Fatal,Both,All,3.0
2002.0,Fatal,Both,All,0.0
2003.0,Fatal,Both,All,4.0
2004.0,Fatal,Both,All,2.0
2005.0,Fatal,Both,All,3.0
2006.0,Fatal,Both,All,6.0
2007.0,Fatal,Both,All,4.0
2008.0,Fatal,Both,All,5.0
2009.0,Fatal,Both,All,3.0
2010.0,Fatal,Both,All,3.0
2011.0,Fatal,Both,All,3.0
2012.0,Fatal,Both,All,0.0
2013.0,Fatal,Both,All,1.0
2014.0,Fatal,Both,All,2.0
2015.0,Fatal,Both,All,2.0
2016.0,Fatal,Both,All,4.0
2017.0,Fatal,Both,All,2.0
2018.0,Fatal,Both,All,3.0
2019.0,Fatal,Both,All,2.0
2020.0,Fatal,Both,All,3.0
2021.0,Fatal,Both,All,3.0
2022.0,Fatal,Both,All,1.0
1980.0,Fatal,Male,All,8.0
1981.0,Fatal,Male,All,8.0
1982.0,Fatal,Male,All,7.0
1983.0,Fatal,Male,All,3.0
1984.0,Fatal,Male,All,4.0
1985.0,Fatal,Male,All,5.0
1986.0,Fatal,Male,All,5.0
1987.0,Fatal,Male,All,4.0
1988.0,Fatal,Male,All,1.0
1989.0,Fatal,Male,All,6.0
1990.0,Fatal,Male,All,5.0
1991.0,Fatal,Male,All,9.0
1992.0,Fatal,Male,All,4.0
1993.0,Fatal,Male,All,4.0
1994.0,Fatal,Male,All,8.0
1995.0,Fatal,Male,All,3.0
1996.0,Fatal,Male,All,3.0
1997.0,Fatal,Male,All,4.0
1998.0,Fatal,Male,All,2.0
1999.0,Fatal,Male,All,5.0
2000.0,Fatal,Male,All,4.0
2001.0,Fatal,Male,All,3.0
2002.0,Fatal,Male,All,0.0
2003.0,Fatal,Male,All,4.0
2004.0,Fatal,Male,All,2.0
2005.0,Fatal,Male,All,3.0
2006.0,Fatal,Male,All,6.0
2007.0,Fatal,Male,All,4.0
2008.0,Fatal,Male,All,5.0
2009.0,Fatal,Male,All,3.0
2010.0,Fatal,Male,All,3.0
2011.0,Fatal,Male,All,3.0
2012.0,Fatal,Male,All,0.0
2013.0,Fatal,Male,All,0.0
2014.0,Fatal,Male,All,1.0
2015.0,Fatal,Male,All,2.0
2016.0,Fatal,Male,All,4.0
2017.0,Fatal,Male,All,2.0
2018.0,Fatal,Male,All,3.0
2019.0,Fatal,Male,All,2.0
2020.0,Fatal,Male,All,3.0
2021.0,Fatal,Male,All,3.0
2022.0,Fatal,Male,All,1.0
1980.0,Fatal,Female,All,0.0
1981.0,Fatal,Female,All,0.0
1982.0,Fatal,Female,All,0.0
1983.0,Fatal,Female,All,0.0
1984.0,Fatal,Female,All,1.0
1985.0,Fatal,Female,All,1.0
1986.0,Fatal,Female,All,0.0
1987.0,Fatal,Female,All,0.0
1988.0,Fatal,Female,All,0.0
1989.0,Fatal,Female,All,1.0
1990.0,Fatal,Female,All,0.0
1991.0,Fatal,Female,All,0.0
1992.0,Fatal,Female,All,0.0
1993.0,Fatal,Female,All,0.0
1994.0,Fatal,Female,All,0.0
1995.0,Fatal,Female,All,0.0
1996.0,Fatal,Female,All,0.0
1997.0,Fatal,Female,All,0.0
1998.0,Fatal,Female,All,0.0
1999.0,Fatal,Female,All,2.0
2000.0,Fatal,Female,All,0.0
2001.0,Fatal,Female,All,0.0
2002.0,Fatal,Female,All,0.0
2003.0,Fatal,Female,All,0.0
2004.0,Fatal,Female,All,0.0
2005.0,Fatal,Female,All,0.0
2006.0,Fatal,Female,All,0.0
2007.0,Fatal,Female,All,0.0
2008.0,Fatal,Female,All,0.0
2009.0,Fatal,Female,All,0.0
2010.0,Fatal,Female,All,0.0
2011.0,Fatal,Female,All,0.0
2012.0,Fatal,Female,All,0.0
2013.0,Fatal,Female,All,1.0
2014.0,Fatal,Female,All,1.0
2015.0,Fatal,Female,All,0.0
2016.0,Fatal,Female,All,0.0
2017.0,Fatal,Female,All,0.0
2018.0,Fatal,Female,All,0.0
2019.0,Fatal,Female,All,0.0
2020.0,Fatal,Female,All,0.0
2021.0,Fatal,Female,All,0.0
2022.0,Fatal,Female,All,0.0
1980.0,non-fatal,Male,All,0.0
1981.0,non-fatal,Male,All,0.0
1982.0,non-fatal,Male,All,0.0
1983.0,non-fatal,Male,All,0.0
1984.0,non-fatal,Male,All,268.0
1985.0,non-fatal,Male,All,277.0
1986.0,non-fatal,Male,All,303.0
1987.0,non-fatal,Male,All,304.0
1988.0,non-fatal,Male,All,341.0
1989.0,non-fatal,Male,All,326.0
1990.0,non-fatal,Male,All,599.0
1991.0,non-fatal,Male,All,522.0
1992.0,non-fatal,Male,All,530.0
1993.0,non-fatal,Male,All,505.0
1994.0,non-fatal,Male,All,485.0
1995.0,non-fatal,Male,All,670.0
1996.0,non-fatal,Male,All,816.0
1997.0,non-fatal,Male,All,947.0
1998.0,non-fatal,Male,All,1019.0
1999.0,non-fatal,Male,All,1002.0
2000.0,non-fatal,Male,All,1045.0
2001.0,non-fatal,Male,All,1029.0
2002.0,non-fatal,Male,All,963.0
2003.0,non-fatal,Male,All,1065.0
2004.0,non-fatal,Male,All,1428.0
2005.0,non-fatal,Male,All,1221.0
2006.0,non-fatal,Male,All,1328.0
2007.0,non-fatal,Male,All,1450.0
2008.0,non-fatal,Male,All,1368.0
2009.0,non-fatal,Male,All,936.0
2010.0,non-fatal,Male,All,859.0
2011.0,non-fatal,Male,All,1017.0
2012.0,non-fatal,Male,All,1055.0
2013.0,non-fatal,Male,All,1191.0
2014.0,non-fatal,Male,All,1255.0
2015.0,non-fatal,Male,All,1320.0
2016.0,non-fatal,Male,All,1361.0
2017.0,non-fatal,Male,All,1393.0
2018.0,non-fatal,Male,All,1436.0
2019.0,non-fatal,Male,All,1378.0
2020.0,non-fatal,Male,All,1142.0
2021.0,non-fatal,Male,All,1174.0
2022.0,non-fatal,Male,All,1256.0
1980.0,non-fatal,Female,All,0.0
1981.0,non-fatal,Female,All,0.0
1982.0,non-fatal,Female,All,0.0
1983.0,non-fatal,Female,All,0.0
1984.0,non-fatal,Female,All,71.0
1985.0,non-fatal,Female,All,75.0
1986.0,non-fatal,Female,All,72.0
1987.0,non-fatal,Female,All,95.0
1988.0,non-fatal,Female,All,75.0
1989.0,non-fatal,Female,All,111.0
1990.0,non-fatal,Female,All,159.0
1991.0,non-fatal,Female,All,137.0
1992.0,non-fatal,Female,All,138.0
1993.0,non-fatal,Female,All,161.0
1994.0,non-fatal,Female,All,180.0
1995.0,non-fatal,Female,All,211.0
1996.0,non-fatal,Female,All,265.0
1997.0,non-fatal,Female,All,285.0
1998.0,non-fatal,Female,All,316.0
1999.0,non-fatal,Female,All,351.0
2000.0,non-fatal,Female,All,395.0
2001.0,non-fatal,Female,All,387.0
2002.0,non-fatal,Female,All,435.0
